DATE,CHINA_BHKP_PIX_PRICE
7/28/2015,659.85
8/4/2015,663.59
8/11/2015,664.99
8/18/2015,662.43
8/25/2015,662.26
9/1/2015,661.08
9/8/2015,664.91
9/15/2015,667.81
9/22/2015,664.1
9/29/2015,660.43
10/6/2015,660.76
10/13/2015,659.73
10/20/2015,650.3
10/27/2015,645.13
11/3/2015,633.09
11/10/2015,628.09
11/17/2015,614.14
11/24/2015,612.85
12/1/2015,607.8
12/8/2015,605.77
12/15/2015,605.29
12/22/2015,597.71
12/29/2015,584.65
1/5/2016,581.95
1/12/2016,580.13
1/19/2016,582.41
1/26/2016,573.48
2/2/2016,565.51
2/9/2016,555.57
2/16/2016,554.69
2/23/2016,555.17
3/1/2016,548.76
3/8/2016,528.43
3/15/2016,527.28
3/22/2016,527.61
3/29/2016,517.03
4/5/2016,505.89
4/12/2016,505.52
4/19/2016,502.08
4/26/2016,499.29
5/3/2016,502.16
5/10/2016,508.85
5/17/2016,512.12
5/24/2016,511
5/31/2016,510.25
6/7/2016,516.22
6/14/2016,523.98
6/21/2016,523.65
6/28/2016,524.84
7/5/2016,518.63
7/12/2016,515.62
7/19/2016,515.55
7/26/2016,510.12
8/2/2016,496.62
8/9/2016,496.33
8/16/2016,494.27
8/23/2016,490.21
8/30/2016,488.53
9/6/2016,486.09
9/13/2016,485.4
9/20/2016,485.81
9/27/2016,486.42
10/4/2016,485.81
10/11/2016,484.5
10/18/2016,491.58
10/25/2016,499.25
11/1/2016,498.22
11/8/2016,498.87
11/15/2016,501.64
11/22/2016,504.26
11/29/2016,512.45
12/13/2016,523.8
12/20/2016,525.63
12/27/2016,528.06
1/3/2017,532.33
1/10/2017,536.2
1/17/2017,547.72
1/24/2017,555.2
1/31/2017,558.84
2/7/2017,559.99
2/14/2017,577.89
2/21/2017,581.8
2/28/2017,584.29
3/7/2017,590.45
3/14/2017,591.19
3/21/2017,602.72
3/28/2017,603.26
4/4/2017,603.08
4/11/2017,609.47
4/18/2017,611.08
4/25/2017,621.29
5/2/2017,624.88
5/9/2017,627.86
5/16/2017,629.44
5/23/2017,630.26
5/30/2017,645.17
6/6/2017,644.37
6/13/2017,645.96
6/20/2017,644.95
6/27/2017,641.39
7/4/2017,641.2
7/11/2017,640.92
7/18/2017,642.68
7/25/2017,642.87
8/1/2017,642.14
8/8/2017,642.92
8/15/2017,645.37
8/22/2017,651.12
8/29/2017,654.77
9/5/2017,658.46
9/12/2017,667.78
9/19/2017,685.24
9/26/2017,695.16
10/3/2017,696.58
10/10/2017,697.41
10/17/2017,702.78
10/24/2017,720.75
10/31/2017,731.41
11/7/2017,733.42
11/14/2017,742.36
11/21/2017,745.3
11/28/2017,748.83
12/5/2017,753.09
12/12/2017,751.93
12/19/2017,753.42
12/27/2017,768.57
1/2/2018,755.92
1/9/2018,759.24
1/16/2018,758.71
1/23/2018,758.98
1/30/2018,758.96
2/6/2018,759.47
2/13/2018,760.6
2/20/2018,759.96
2/27/2018,761.68
3/6/2018,761.6
3/13/2018,762.51
3/20/2018,759.49
3/27/2018,760.25
4/3/2018,762.76
4/10/2018,764.96
4/17/2018,768.63
4/24/2018,768.8
5/2/2018,769.7
5/8/2018,770.31
5/15/2018,769.71
5/22/2018,769.08
5/29/2018,768.76
6/5/2018,771.89
6/12/2018,772.26
6/19/2018,770.66
6/26/2018,770.02
7/3/2018,769.45
7/10/2018,770.06
7/17/2018,769.3
7/24/2018,769.41
7/31/2018,768.58
8/7/2018,769.39
8/14/2018,770.36
8/21/2018,770.35
8/28/2018,771.38
9/4/2018,771.79
9/11/2018,770.56
9/18/2018,768.71
9/25/2018,768.07
10/2/2018,766.61
10/9/2018,766.77
10/16/2018,763.77
10/23/2018,762.25
10/30/2018,760.55
11/6/2018,757.16
11/13/2018,757.15
11/20/2018,754.8
11/27/2018,750.26
12/4/2018,736.48
12/11/2018,706.97
12/18/2018,698.36
12/27/2018,652.51
1/2/2019,642.89
1/8/2019,642.5
1/15/2019,647.87
1/22/2019,650.01
1/29/2019,657.15
2/5/2019,659.87
2/12/2019,660.67
2/19/2019,661.92
2/26/2019,681.62
3/5/2019,699.95
3/12/2019,697.23
3/19/2019,694.28
3/26/2019,691.63
4/2/2019,691.53
4/9/2019,690.35
4/16/2019,688.5
4/23/2019,686.28
4/30/2019,678.6
5/7/2019,672.16
5/14/2019,667.83
5/21/2019,663.7
5/28/2019,653.62
6/4/2019,617.75
6/11/2019,598.51
6/18/2019,567.83
6/25/2019,547.55
7/2/2019,531.98
7/9/2019,521.91
7/16/2019,516.36
7/23/2019,509.22
7/30/2019,500.87
8/6/2019,495.84
8/13/2019,486.11
8/20/2019,484.6
